,Fav,Fav_Loss_Count
7985,Mirra Andreeva,7
7990,Polina Kudermetova,2
7992,Tamara Zidansek,3
7993,Ella Seidel,7
7996,Zsombor Piros,12
7997,Zsombor Piros,12
8001,Carlos Alcaraz,4
8003,Elmer Moller,16
8006,Facundo Mena,9
8016,Petra Martic,3
8027,Belen Teichmann Jil,5
8028,Novak Djokovic,5
8029,Diane Parry,8
8032,Veronika Erjavec,7
8033,Alejandro Tabilo,7
8036,Hugo Dellien,22
8038,Alejandro Tabilo,7
8039,Elsa Jacquemot,4
8040,Coco Gauff,3
8043,Mayar Sherif,8
8046,Katie Volynets,5
8054,Lola Radivojevic,0
8056,Viktoriya Tomova,6
8058,Chun Hsin Tseng,13
8063,Guy Den Ouden,3
8066,Kilian Feldbausch,7
8068,Maya Joint,3
8069,Victoria Jimenez Kasintseva,4
8071,Anna Bondar,5
8072,Zdenek Kolar,8
8073,Aryna Sabalenka,5
8076,Facundo Juarez,2
8077,Jannik Sinner,3
8082,Tom Gentzsch,1
8083,Gianluca Mager,12
8086,Alexia Todoni Anca,2
8088,Tatiana Prozorova,2
8089,Oleksandra Oliynykova,0
8092,Lilian Marmousez,2
8093,Rodrigo Pacheco Mendez,6
8096,Kyrian Jacquet,6
8097,Sumit Nagal,5
8111,Alex Marti Pujolras,3
8113,Lucas Gerch,1
8115,Vitaliy Sachko,9
8122,Jozef Kovalik,10
8124,Leonardo Aboian,4
8128,Taylah Preston,1
8129,Raluka Serban,0
8130,Xiyu Wang,4
8131,Chloe Paquet,4
8132,Renata Zarazua,8
8133,Ana Bogdan,4
8135,Oksana Selekhmeteva,1
8147,Daniel Vallejo Adolfo,8
8154,Henrique Rocha,14
8162,Carlos Sanchez Jover,6
8163,Astra Sharma,4
8164,Petra Marcinko,1
8167,Lourdes Carle Maria,13
8168,Anastasiia Sobolieva,1
8170,Tamara Korpatsch,3
8171,Darja Semenistaja,7
8175,Emilio Nava,11
8176,Lukas Klein,8
8180,Emilio Nava,12
8187,Matej Dodig,8
8190,Sara Bejlek,5
8191,Xinyu Gao,1
8194,Kaja Juvan,1
8196,Leyre Romero Gormaz,7
8202,Sinja Kraus,5
8203,Mona Barthel,2
8208,Tomas Barrios Vera,14
8209,Alina Charaeva,1
8212,Valentin Royer,15
8213,Clement Tabur,8
8217,Alexander Shevchenko,8
8219,Federico Arnaboldi,5
8221,Pablo Carreno Busta,4
8222,Dominika Salkova,1
8226,Julia Grabher,2
8229,Luca Nardi,5
8231,Gauthier Onclin,9
8232,Nerman Fatic,7
8236,Daniel Dutra da Silva,4
8242,Gabriele Piraino,4
8243,Alex Molcan,6
8248,Oleg Prihodko,3
8249,Nicolas Alvarez Varona,7
8252,Joris De Loore,2
8259,Tereza Valentova,0
8261,Nuria Parrizas Diaz,6
8264,Stefano Napolitano,6
8268,Gerard Campana Lee,11
8269,Andrej Martin,3
8270,Diego Dedura Palomero,1
8272,Viktor Durasovic,0
8279,Hynek Barton,4
8285,Augusto Barreto Sanchez Diego,2
8288,Valentin Vacherot,6
8289,Joaquin Rodriguez Lorenzo,3
8291,Lukas Neumayer,11
8292,Stan Wawrinka,7
8293,Albert Ramos Vinolas,19
8298,Vilius Gaubas,13
8304,Alejandro Moro Canas,13
8305,Ivan Justo Guido,4
8308,Timofey Skatov,12
8311,Nicolas Kicker,4
8312,Facundo Bagnis,3
8316,Franco Roncadelli,5
8318,Emanuel Ambrogi Luciano,5
8320,Jurij Rodionov,5
8321,Daniel Rincon,9
8323,Elias Ymer,5
8324,Giulio Zeppieri,11
8327,Cristian Garin,10
8328,Dalibor Svrcina,8
8330,Maxim Mrva,1
8339,Francesco Passaro,14
8340,Luca Van Assche,10
8349,Filip Misolic,9
8350,Filip Misolic,9
8351,Lucas Reis Da Silva Joao,6
8353,Lucas Reis Da Silva Joao,7
8355,Titouan Droguet,4
8356,Titouan Droguet,4
8360,Maks Kasnikowski,5
8361,Dusan Lajovic,12
8369,Bautista Vilicich,3
8371,Max Alcala Gurri,1
8374,Rudolf Molleker,11
8378,Mili Poljicak,2
8379,Tiago Pereira,0
8383,Alexander Rodriguez Rodriguez Johan,0
8384,Renzo Olivo,5
8385,Nicolas Mejia,4
8387,Bruno Kuzuhara,3
8388,Manuel La Serna Juan,2
8392,Ivan Gakhov,9
8395,Mathys Erhard,4
8397,Gonzalo Villanueva,5
8398,Hernan Casanova,8
8400,Juan Bautista Torres,16
8401,Dali Blanch,1
8404,Lautaro Midon,11
8409,Carlos Prado Angelo Juan,7
8410,Alex Barrena,2
8411,Alberto Olivieri Genaro,12
8412,Luka Mikrut,5
8414,Matheus Pucinelli De Almeida,19
8415,Jacopo Vasami,1
8417,Pedro Boscardin Dias,9
8420,Andrea Guerrieri,1
8421,Gonzalo Bueno,9
8422,Raul Brancaccio,6
8423,Dino Prizmic,6
8425,Martin Krumich,4
8426,Neil Oberleitner,3
8427,Alejo Sanchez Quilez,0
8429,Santiago Rodriguez Taverna,6
8431,Jakub Paul,2
8433,Jacopo Berrettini,2
8434,Matias Soto,5
8435,Giovanni Fonio,7
8436,Arthur Gea,5
8439,Buvaysar Gadamauri,2
8440,Jakub Paul,2
8441,Alex Kodat Toby,1
8442,Stefano Travaglia,13
8443,Milos Karol,1
8444,Alex Kodat Toby,1
8445,Oriol Roca Batalla,16
8446,Adrian Boitan Gabi,2
8447,Dimitar Kuzmanov,7
8448,Christoph Negritu,4
8450,Federico Bondioli,1
8451,Agustin Gomez Federico,7
8452,Filip Cristian Jianu,9
8454,Kimmer Coppejans,7
8455,Federico Cina,0
8456,Ignacio Buse,13
8458,Facundo Diaz Acosta,7
